year,specefic_date,total sale_dollars,total state_bottle_cost,total state_bottle_retail,total bottles_sold,total volume_sold_liters
2021,04-26,3238.55,91.92,137.9,215,325.14
2021,09-22,3258.7499999999995,177.68,266.55,228,151.8
2021,09-29,3378.2699999999995,253.78999999999996,380.71000000000004,177,193.05
2021,12-14,5387.839999999999,229.93999999999997,344.95,385,468.37
2021,01-20,5916.32,162.38,243.59,322,268.12
2021,03-10,3919.6800000000003,134.54,201.84,162,139.5
2021,08-05,1283.21,107.69,161.56000000000003,75,79.10999999999999
2021,01-26,3069.57,187.48,281.26,241,192.37
2021,12-15,1623.6599999999999,68.97999999999999,103.48,90,85.5
2021,03-23,2959.16,168.85,253.3,159,145.86
2021,04-16,3252.1499999999996,203.79999999999998,305.75000000000006,222,204.64000000000001
2021,04-19,3383.5999999999995,239.31,358.99,199,211.49
2021,09-14,2083.4,110.08000000000001,165.15,133,117.37
2021,11-05,2122.29,136.51000000000002,204.79000000000002,198,147.75
2021,07-14,3077.2799999999993,192.41,288.63,163,145.85
2021,11-12,2403.86,208.79000000000002,313.22,161,164.99
2021,07-22,1553.5800000000002,94.31,141.48000000000002,90,109.5
2021,03-25,1568.16,122.74000000000001,184.12,85,99.37
2021,03-29,2619.8100000000004,148.54000000000002,222.84,184,158.62
2021,06-04,2052.54,71.80999999999999,107.73,108,93.0
2021,06-09,4743.369999999999,260.31,390.5,320,226.08
2021,06-08,6485.339999999998,239.21999999999997,358.87,264,252.87
2021,12-29,2008.2099999999998,203.01999999999998,304.57,129,130.49
2021,02-02,2842.2799999999997,222.11999999999998,333.21000000000004,170,156.74
2021,06-25,3643.829999999999,184.60999999999999,276.94000000000005,276,188.67000000000002
2021,02-04,2987.9300000000003,138.05,207.10000000000002,410,153.3
2021,09-08,2430.41,158.03000000000003,237.06,167,151.49
2021,09-13,2017.3499999999997,151.38,227.09,127,122.62
2021,04-27,2742.1400000000003,147.38000000000002,221.10000000000002,126,120.36000000000001
2021,04-30,2473.08,181.08999999999997,271.67,135,146.25
2021,10-07,19879.13,179.50000000000003,269.28999999999996,877,675.37
2021,10-28,2704.32,113.72,170.59000000000003,164,106.0
2021,03-02,1616.9099999999999,154.05,231.10000000000002,79,107.25
2021,07-29,2515.19,157.27999999999997,235.96000000000004,143,114.28999999999999
2021,01-05,1897.67,154.44,231.69000000000003,111,118.10999999999999
2021,08-12,3078.4199999999996,149.58,224.4,150,153.0
2021,12-02,2914.7399999999993,85.91999999999999,128.9,252,147.0
2021,04-06,1977.48,99.59,149.4,129,129.75
2021,12-24,6836.3099999999995,309.88,464.87,413,343.99
2021,02-10,2466.59,201.02000000000004,301.54999999999995,127,124.87
2021,02-24,2001.63,99.27,148.92,103,106.87
2021,09-03,3511.3800000000006,235.10000000000002,352.7,168,174.87
2021,11-01,2368.11,174.78,262.21000000000004,163,127.05
2021,11-09,2196.48,134.28,201.46000000000004,158,135.74
2021,11-16,4006.2,277.69,416.57000000000005,285,222.75
2021,02-08,1255.8000000000002,50.46,75.69,84,75.0
2021,05-27,2306.85,148.8,223.23,163,119.16999999999999
2021,07-21,5859.380000000001,178.6,267.92,802,739.0899999999999
2021,01-08,5377.86,197.29,295.98,389,335.0
2021,10-01,2710.3399999999997,245.61,368.44,190,198.37
2021,06-11,1237.57,93.67000000000002,140.53,131,111.5
2021,10-05,2075.62,210.45,315.7,141,143.6
2021,04-09,5204.45,220.81,331.26,322,254.92
2021,12-30,2188.54,110.45,165.7,227,147.5
2021,10-06,1273.67,97.54,146.34,121,120.37
2021,07-08,1353.33,80.55,120.85,163,103.87
2021,07-13,1594.2000000000003,116.84,175.28,157,117.37
2021,12-21,3373.41,242.14,363.25,199,226.87
